N,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
3957,5/29/2009,Pontypool,1500000,3865,31916
3958,6/3/2011,The Lion of Judah,1500000,0,0
3959,3/17/2006,Fetching Cody,1500000,0,0
3960,12/31/2013,Last I Heard,1500000,0,0
3961,10/17/2014,Housebound,1500000,0,0
3962,12/21/1937,Snow White and the Seven Dwarfs,1488000,184925485,184925485
3963,1/1/1968,Shalako,1455000,2620000,2620000
3964,4/29/2005,Holy Girl,1400000,304124,1261792
3965,9/17/2004,Incident at Loch Ness,1400000,36830,56073
3966,8/21/2001,Batman - The Movie,1377800,0,0
3967,3/5/1999,"Lock, Stock and Two Smoking Barrels",1350000,3897569,28356188
3968,8/19/1983,The Ballad of Gregorio Cortez,1305000,909000,909000
3969,6/26/1936,San Francisco,1300000,2868000,5273000
3970,10/9/1998,Festen,1300000,1647780,1647780
3971,10/11/1996,Trees Lounge,1300000,749741,749741
3972,5/22/2009,The Girlfriend Experience,1300000,695840,1005840
3973,3/23/2007,Journey from the Fall,1300000,635305,635305
3974,5/5/2000,The Basket,1300000,609042,609042
3975,3/15/1985,Def-Con 4,1300000,210904,210904
3976,12/9/2005,Neal n' Nikki,1300000,100358,329621
3977,12/19/2003,The Hebrew Hammer,1300000,77755,77755
3978,6/13/2014,Los insolitos peces gato,1300000,11278,11278
3979,4/7/2006,Simon,1300000,4055,1738663
3980,5/24/2011,Forget Me Not,1300000,0,0
3981,1/1/1940,Rebecca,1288000,6000000,6000000
3982,4/30/1981,Friday the 13th Part 2,1250000,21722776,21722776
3983,1/1/1945,The Lost Weekend,1250000,11000000,11000000
3984,8/31/1984,C.H.U.D.,1250000,4700000,4700000
3985,4/19/2013,Filly Brown,1250000,2850357,2850357
3986,1/21/1953,Niagara,1250000,2500000,2500000
3987,10/28/1941,How Green Was My Valley,1250000,0,0
3988,9/26/1975,The Rocky Horror Picture Show,1200000,139876417,139876417
3989,10/29/2004,Saw,1200000,55185045,103096345
3990,8/4/1989,"Sex, Lies, and Videotape",1200000,24741667,36741667
3991,2/22/2002,Monsoon Wedding,1200000,13876974,27025600
3992,11/10/2000,You Can Count on Me,1200000,9180275,11142665
3993,10/3/1955,The Trouble With Harry,1200000,7000000,7000000
3994,7/3/1951,Strangers on a Train,1200000,7000000,7000000
3995,12/29/1967,"Il buono, il brutto, il cattivo",1200000,6100000,6100000
3996,3/4/2003,The Day the Earth Stood Still,1200000,3700000,3700000
3997,10/23/1992,Reservoir Dogs,1200000,2832029,2832029
3998,7/7/2000,But I'm a Cheerleader,1200000,2205627,2629191
3999,12/23/1956,The Wrong Man,1200000,2000000,2000000
4000,1/1/1976,The Blue Bird,1200000,887000,887000
4001,4/13/2012,Blue Like Jazz,1200000,595018,595018
4002,11/19/1982,Q,1200000,255000,255000
4003,3/21/2003,Down & Out with the Dolls,1200000,58936,58936
4004,6/18/2004,Grand Theft Parsons,1200000,0,0
4005,10/20/1936,"Charge of the Light Brigade, The",1200000,0,0
4006,9/9/2014,Cotton Comes to Harlem,1200000,0,0
4007,10/7/2005,Waiting...,1125000,16124543,18673274
